band,start_time,end_time,duration,max_power,integrated_power,dominant_frequency,bandwidth,L,MLT,MLAT,Storm_Phase
Pc1,2015-03-04 20:58:09.177359,2015-03-04 22:25:16.327873,107.3125,8.089648339201604,552.6139657066442,0.186371578334304,0.009318578916715198,2.36115,3.25331,-10.0699,Quiet
Pc1,2015-03-05 06:00:45.230939,2015-03-05 07:27:39.600169,104.5,13.754741701919857,825.7207855936617,0.19138755980861244,0.009569377990430616,2.25882,3.44933,7.56544,Quiet
Pc1,2015-03-05 14:57:09.562250,2015-03-05 16:21:45.992984,89.203125,5.15746192828492,309.62404283384114,0.19057628306183222,0.011210369591872493,2.38988,3.15814,-2.68044,Quiet
Pc1,2015-03-06 00:04:01.349018,2015-03-06 01:22:00.371760,107.609375,11.026621529223913,682.0140661730652,0.1858574125163351,0.00929287062581674,1.97475,3.95164,-5.17687,Quiet
Pc1,2015-03-06 08:54:58.396771,2015-03-06 10:23:27.375689,99.4375,8.46980677628644,509.68751669032247,0.18101822752985544,0.010056568196103094,2.35252,3.3757,9.39943,Quiet
Pc1,2015-03-06 17:51:27.211408,2015-03-06 19:16:56.017099,106.6875,7.445631176206769,447.6202469310226,0.18746338605741067,0.009373169302870549,2.4676,3.0719,-8.79112,Quiet
Pc1,2015-03-07 02:52:41.305523,2015-03-07 04:18:54.064337,95.984375,13.402721126464426,804.3865903415808,0.1875305225459873,0.010418362363665973,2.17674,3.45236,1.49012,Quiet
Pc1,2015-03-07 11:50:15.742537,2015-03-07 13:17:14.001651,135.8125,8.55735207782625,776.9976550734857,0.18407731247123793,0.0,2.31973,3.23794,5.5725,Quiet
Pc1,2015-03-07 20:46:37.257500,2015-03-07 22:13:49.297902,121.15625,9.157382348045745,686.0485415862152,0.1815836987361362,0.008253804488006194,2.49366,2.9269,-10.174,Quiet
Pc1,2015-03-08 05:49:15.507514,2015-03-08 07:16:17.124304,104.4375,12.927983619078041,776.0051568775591,0.18192698982645122,0.00957510472770795,2.20649,3.46112,8.05781,Quiet
Pc1,2015-03-08 14:45:49.619627,2015-03-08 16:10:23.638253,82.515625,3.865137629078393,232.06942254968874,0.18178375307706873,0.0,2.33231,3.14448,-1.57151,Quiet
Pc1,2015-03-09 00:01:16.169738,2015-03-09 01:10:30.244903,111.640625,11.411976161728525,720.5771195018215,0.1881035689293212,0.008957312806158163,1.72362,4.61074,-4.07418,Quiet
Pc1,2015-03-09 08:43:30.743265,2015-03-09 10:12:14.083963,112.4375,11.7667794875324,710.6362204737503,0.1867704280155642,0.008893829905503081,2.30829,3.37809,10.2073,Quiet
Pc1,2015-03-09 17:40:19.691122,2015-03-09 19:05:08.121919,81.765625,4.554533771306683,273.42947482093206,0.18345117523409135,0.0,2.40306,3.07237,-7.84441,Quiet
Pc1,2015-03-10 02:41:10.657137,2015-03-10 04:07:25.960710,95.78125,12.768922609693284,766.269130294065,0.18792822185970637,0.020880913539967377,2.30369,3.09024,1.58459,Quiet
Pc1,2015-03-10 11:38:39.343916,2015-03-10 13:05:43.551817,130.703125,8.582665666844216,714.33803590588,0.1836222355050807,0.0,2.27597,3.23161,6.64581,Quiet
Pc1,2015-03-10 20:35:13.365387,2015-03-10 22:02:15.133948,117.828125,8.771111151446393,631.5818498912602,0.18671263758122264,0.008486938071873756,2.42995,2.94362,-9.52718,Quiet
Pc1,2015-03-11 05:37:47.736293,2015-03-11 07:04:46.659484,99.234375,9.630077419929135,577.972437534771,0.18138875767595655,0.010077153204219785,2.15201,3.48349,8.53259,Quiet
Pc1,2015-03-11 14:34:15.956519,2015-03-11 15:59:03.393880,92.375,4.307316300047063,258.5335198187548,0.1840324763193505,0.010825439783491209,2.27457,3.13677,-0.432848,Quiet
Pc1,2015-03-12 00:00:28.090523,2015-03-12 00:58:56.964892,99.640625,11.45496783473601,758.6922502398425,0.1806492080915791,0.010036067116198838,1.31564,6.50049,-1.51443,Quiet
Pc1,2015-03-12 08:31:56.327621,2015-03-12 10:00:51.496766,110.75,10.428283318480165,630.6931325155915,0.1805869074492099,0.009029345372460501,2.43739,3.01274,9.97361,Quiet
Pc1,2015-03-12 17:28:44.390365,2015-03-12 18:53:52.967069,105.25,8.814617797389024,529.4022069069249,0.19002375296912116,0.009501187648456061,2.33812,3.07643,-6.86714,Quiet
